time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-16 00:00:00+00:00,5,5,7,3
2024-06-17 00:00:00+00:00,12,8,1,1
2024-06-18 00:00:00+00:00,14,11,1,1
2024-06-19 00:00:00+00:00,18,11,13,2
2024-06-20 00:00:00+00:00,26,11,0,0
2024-06-21 00:00:00+00:00,22,13,3,3
2024-06-22 00:00:00+00:00,11,9,2,1
2024-06-23 00:00:00+00:00,3,3,1,1
2024-06-24 00:00:00+00:00,10,6,28,5
2024-06-25 00:00:00+00:00,4,3,3,1
2024-06-26 00:00:00+00:00,12,9,10,1
2024-06-27 00:00:00+00:00,4,3,15,6
2024-06-28 00:00:00+00:00,7,5,8,1
2024-06-29 00:00:00+00:00,2,2,6,1
