time_iso8601,stars_cumulative
2023-12-21 00:00:00+00:00,2063
2023-12-23 00:00:00+00:00,2064
2023-12-24 00:00:00+00:00,2065
2023-12-25 00:00:00+00:00,2067
2023-12-26 00:00:00+00:00,2069
2023-12-27 00:00:00+00:00,2071
2023-12-28 00:00:00+00:00,2073
2023-12-29 00:00:00+00:00,2074
2023-12-31 00:00:00+00:00,2076
2024-01-01 00:00:00+00:00,2079
2024-01-02 00:00:00+00:00,2080
2024-01-03 00:00:00+00:00,2082
2024-01-05 00:00:00+00:00,2084
2024-01-06 00:00:00+00:00,2087
2024-01-07 00:00:00+00:00,2088
2024-01-08 00:00:00+00:00,2091
2024-01-10 00:00:00+00:00,2092
2024-01-12 00:00:00+00:00,2096
2024-01-13 00:00:00+00:00,2099
2024-01-15 00:00:00+00:00,2100
2024-01-16 00:00:00+00:00,2101
2024-01-17 00:00:00+00:00,2103
2024-01-18 00:00:00+00:00,2105
2024-01-19 00:00:00+00:00,2106
2024-01-20 00:00:00+00:00,2107
2024-01-22 00:00:00+00:00,2109
2024-01-23 00:00:00+00:00,2113
